info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 05:34:17"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 05:35:06"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 05:35:06"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 05:35:10"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 05:36:52"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 05:36:52"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 05:37:12"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 05:37:12"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 05:37:15"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 05:37:45"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 05:38:02"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 05:38:52"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 05:39:16"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 05:40:34"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 05:41:01"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 05:41:42"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 05:42:35"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 05:49:10"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 05:49:10"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 05:49:44"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 05:49:44"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 05:49:46"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 05:50:18"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 05:50:18"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 05:50:21"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 05:50:34"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 05:50:39"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 05:51:03"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 05:51:03"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 05:51:05"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 05:52:25"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 05:52:25"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 05:52:48"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 05:52:48"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 05:53:17"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 05:53:17"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 05:58:24"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 05:58:24"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 05:59:38"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 05:59:38"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 06:02:30"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 06:02:30"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 06:02:38"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 06:02:38"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 06:08:18"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 06:08:18"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 06:09:38"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 06:09:38"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 06:10:34"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 06:10:37"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 06:10:38"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 06:11:04"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 06:11:04"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 06:11:17"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 06:11:33"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 06:13:24"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 06:13:24"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 06:13:25"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 06:13:53"}
